CustomerID,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,rf_score,segment
12346,325,1,325.0,1,1,5,115.0,11,Lapsed Customers
12347,1,7,1.0,5,5,1,551.0,55,Top Customers
12348,74,4,74.0,2,4,4,244.0,24,At Risk
12349,18,1,18.0,4,1,2,412.0,41,New Customers
12350,309,1,309.0,1,1,5,115.0,11,Lapsed Customers
12352,35,8,35.0,3,5,3,353.0,35,Loyal Customers
12353,203,1,203.0,1,1,5,115.0,11,Lapsed Customers
12354,231,1,231.0,1,1,5,115.0,11,Lapsed Customers
12355,213,1,213.0,1,1,5,115.0,11,Lapsed Customers
12356,22,3,22.0,4,3,2,432.0,43,Potential Loyalists
12357,32,1,32.0,4,1,2,412.0,41,New Customers
12358,1,2,1.0,5,2,1,521.0,52,Potential Loyalists
12359,57,4,57.0,3,4,3,343.0,34,Loyal Customers
12360,51,3,51.0,3,3,3,333.0,33,Need Attention
12361,286,1,286.0,1,1,5,115.0,11,Lapsed Customers
12362,2,10,2.0,5,5,1,551.0,55,Top Customers
12363,109,2,109.0,2,2,4,224.0,22,Lapsed Customers
12364,7,4,7.0,5,4,1,541.0,54,Top Customers
12365,290,2,290.0,1,2,5,125.0,12,Lapsed Customers
12367,3,1,3.0,5,1,1,511.0,51,New Customers
12370,50,4,50.0,3,4,3,343.0,34,Loyal Customers
12371,44,2,44.0,3,2,3,323.0,32,Less Frequent
12372,71,3,71.0,3,3,3,333.0,33,Need Attention
12373,310,1,310.0,1,1,5,115.0,11,Lapsed Customers
12374,24,1,24.0,4,1,2,412.0,41,New Customers
12375,10,2,10.0,5,2,1,521.0,52,Potential Loyalists
12377,314,2,314.0,1,2,5,125.0,12,Lapsed Customers
12378,129,1,129.0,2,1,4,214.0,21,Lapsed Customers
12379,81,2,81.0,2,2,4,224.0,22,Lapsed Customers
12380,21,4,21.0,4,4,2,442.0,44,Loyal Customers
12381,4,5,4.0,5,4,1,541.0,54,Top Customers
12383,184,5,184.0,1,4,5,145.0,14,At Risk
12384,28,2,28.0,4,2,2,422.0,42,Potential Loyalists
12386,337,2,337.0,1,2,5,125.0,12,Lapsed Customers
12388,15,6,15.0,4,4,2,442.0,44,Loyal Customers
